CustomerID,TransactionID,TransactionDate,TransactionAmount,Description
1001,1,2023-01-15,1500.00,UPI Transaction
1002,2,2023-01-16,250.50,ATM Withdrawal
1001,3,2023-01-20,3000.00,Salary Credit
1003,4,2023-01-21,500.00,Online Shopping
1002,5,2023-02-05,1200.00,Fund Transfer
1001,6,2023-02-10,750.00,Bill Payment
1004,7,2023-02-12,10000.00,Loan Payment
1003,8,2023-02-18,350.75,Grocery Shopping
1005,9,2023-03-01,5000.00,Initial Deposit
1002,10,2023-03-05,400.00,Mobile Recharge
1001,11,2023-03-12,2200.00,Rent Payment
1004,12,2023-03-15,1500.00,Investment
1003,13,2023-04-02,600.00,Dining Out
1005,14,2023-04-05,800.00,Shopping
1001,15,2023-04-10,1800.00,Utilities
1002,16,2023-04-20,300.00,Cash Deposit
1004,17,2023-05-01,2500.00,EMI Payment
1003,18,2023-05-08,450.00,Movie Tickets
1001,19,2023-05-15,3500.00,Salary Credit
1005,20,2023-05-20,1200.00,Fund Transfer
1002,21,2023-06-01,200.00,ATM Withdrawal
1004,22,2023-06-10,500.00,Online Purchase
1003,23,2023-06-12,700.00,Travel
1001,24,2023-06-18,900.00,Fuel
1005,25,2023-06-25,2000.00,Investment
1002,26,2023-07-02,150.00,Snacks
1004,27,2023-07-08,3000.00,Loan Payment
1003,28,2023-07-15,800.00,Shopping
1001,29,2023-07-20,4000.00,Salary Credit
1005,30,2023-07-22,1500.00,Bill Payment
1006,31,2023-01-25,2000.00,New Customer Deposit
1006,32,2023-02-20,500.00,Online Shopping
1007,33,2023-03-10,1000.00,Fund Transfer
1007,34,2023-04-15,300.00,Bill Payment
1008,35,2023-05-05,15000.00,Large Deposit
1008,36,2023-06-01,1200.00,Investment
1009,37,2023-07-01,50.00,Small Purchase
1010,38,2023-02-15,8000.00,High Value Purchase
1010,39,2023-05-18,200.00,Recharge
1001,40,2023-08-01,1200.00,Insurance Premium
1002,41,2023-08-05,250.00,Cash Deposit
1003,42,2023-08-10,950.00,Electronics
1004,43,2023-08-15,1800.00,EMI Payment
1005,44,2023-08-20,300.00,Groceries
1006,45,2023-08-25,400.00,Bill Payment
1007,46,2023-09-01,1100.00,Fund Transfer
1008,47,2023-09-05,2000.00,Investment
1009,48,2023-09-10,75.00,Coffee
1010,49,2023-09-15,5000.00,Shopping
1001,50,2023-09-20,3200.00,Salary Credit
